correct,incorrect
বাদাশর্,বাদার্ী
বাদী (ফশরয়াশদ),বাশদ
বাদুড়,বাদুর
বার্া (প্রশতবন্ধকতা),বাঁর্া
বাধ্যতামূলক,বাধ্যতার্মলক
বানভাশস,বানভাসী
বাবশর (চুল),বাবশড়
বাবাশর্,বাবার্ী
বাবুশি জ,বাবুিী
বারংবার,বারোর
বারণ,বারন
বাযরা আনা,বার আনা
বাযরায়াশর,বাযরায়ারী
বাশর্কীজ,বাশর্শকজ
বাষ্প,বাস্প
বাষ্পীয়,বাস্পীয়
বাসন্তী,বাসশন্ত
বাস্তববাদী,বাস্তবাশদ
বাহাদুশর,বাহাদুরী
বাহাস,বাহাছ
বাশহনী,বাশহশন
-বাহী,-বাশহ
শবশকরণ,শবশকরন
শবকীণ জ,শবকীন জ
শবকৃত (শবকারপ্রাি),শবশক্রত
শবযকিীকরণ,শবযকিীকরন
শবক্রীত (শবশক্র হযয়যছ এর্ন),শবশক্রত
শবিক্ষণ,শবিক্ষন
শবিারসাযপযক্ষ,শবিার সাযপযক্ষ
শবিরণ,শবিরন
শবশি (বীর্),বীশি
শবচূণ জ,শবচূন জ
শবশেশর,শবশেরী
শবযেদকার্ী,শবযেদকাশর্
শবর্য়ী,শবর্শয়
শবজ্ঞাপন,শবজ্ঞাপণ
শবজ্ঞানী,শবজ্ঞাশন
শবতরণ,শবতরন
শবত্তশালী,শবত্তশাশল
শবদায়সংবর্নাজ,শবদায়সের্নাজ
শবদাশয়,শবদায়ী
শবদুর্ী,শবদূর্ী
শবযদশশ,শবযদশী
শবযদহী,শবযদশহ
শবিান,শবদ্দান
শবযির্প্রসূত,শবযিশপ্রসুত
শবযির্ী,শবযিশর্
শবদ্যর্ান,শবদ্যর্াণ
শবদ্যািী,শবদ্যাশি জ
শবদুযৎ,শবদুযত
শবযদ্যাৎসাহী,শবদুযৎসাহী
শবদ্রুপ,শবদ্রূপ
শবযদ্রাহী,শবযদ্রাশহ
শবশর্বশহভূতজ,শবশর্বশহভুতজ
শবশর্র্যতা,শবশর্র্ত
শবনাশী,শবনাশশ
শবপজ্জনক,শবপদর্নক
শবপণন,শবপনন
শবপশণ,শবপণী/শবপশন
শবপত্নীক,শবপশত্নক
শবপিগার্ী,শবপিগাশর্
শবপন্ন,শবপণ্ন
শবপরীত,শবপশরত
শবপরীতর্মখ্ী,শবপরীতর্মশখ্
শবপ্রতীপ,শবপ্রশতপ
শবলবী,শবলশব
শববরণ,শববরন
শববরণী,শববরশণ
শববণ জ,শববন জ
শববাশগ (উদাসীন),শববাগী
শববাদী,শববাশদ
শবযবকী,শবযবশক
শবভীর্ণ,শবভীর্ন
শবভীশর্কা,শবশভশর্কা
শবভুইুঁ,শবভুই
শবর্নস্ক,শবর্নষ্ক
শবর্া,বীর্া
শবর্ানঘাঁটি,শবর্ানঘাটি
শবমূত জ,শবর্মত জ
শবরহী,শবরশহ
শবরাগী,শবরাশগ
শবরুদ্ধািরণ,শবরুদ্ধিারণ
শবরূপ,শবরুপ
শবলাসী,শবলাশস
শবশলবণ্টন,শবশলবটন
শবলীন,শবশলন
শবশৃঙ্খলা,শবশৃংখ্লা
শবযশর্ণ,শবযশর্ন
শবশ্বশর্ৎ,শবশ্বশর্ত
শবশ্বাসী,শবশ্বাশস
শবশ্রী,শবশশ্র
শবর্ণ্ন,শবর্ন্ন
শবর্যফাড়া (যস্ফােক),শবর্যফাঁড়া
শবর্য়শভশত্তক,শবর্য় শভশত্তক
শবর্য়ী,শবর্শয়
শবসর্নজ,শবসর্জণ
শবস্তীণ জ,শবস্তীন জ
শবযস্ফারণ,শবযস্ফারন
শবস্মরণ,শবস্মরন
শবহাশর (শবহাযরর বাশসন্দ্া),শবহারী
-শবহারী (শবিরণকারী),-শবহাশর
-শবহীন,-শবশহন
বীক্ষণ,বীক্ষন
বীর্াণু,বীর্ানু
বীণা,বীনা
বীণাপাশণ,বীণাপাণী
বীতশ্রদ্ধ,শবতশ্রদ্ধ
বীশি,শবিী
বীভৎস,শবভৎস
বী বানজ,বী বাণজ
বুকশকপার,বুককীপার
বুশড়,বুড়ী
বুদ বুদ,বুদবুদ
বুদ্ধপূশণর্াজ,বুদ্ধপূণীর্া
বুশদ্ধর্ীবী,বুশদ্ধর্ীশব
বুশদ্ধর্তী,বুশদ্ধর্শত
বৃত্ত/বৃত্তাকার,বৃতয/বৃত্তকার
বৃদ্ধাঙ্গুশল,বৃদ্ধাঙ্গুলী
বৃহৎ,বৃহত
নবআইশন,নবআইনী
নবইর্াশন,নবইর্ানী
নবকুব,নবয়াকুফ
নবযখ্য়াশল,নবযখ্য়ালী
নবগুশন,নবগুনী
নবশড়বাঁর্,নভশড়বাঁর্
নবশণ,নবণী
নবণু,নবনু
নবতনভুক,নবতনভূক
নবতনভুি,নবতনভূি
নবশদ,নবদী
নবনাশর্,নবনার্ী
নবনারশস,নবনারসী
নবপদাজ,নবপরদা
নবফাঁস,নবফাস
নবয়াদশব,নবয়াদবী
নবশশ (অশর্ক),নবশী
নবশী (রূপর্ারী),নবশশ
নবসরকাশর,নবসরকারী
নবযহশত,নবযহস্ত
ববশিিয,ববশিি
ববর্য়ন্তী,ববর্য়শন্ত
ববঠশক,ববঠকী
ববতরশণ,ববতরণী
ববদগ্ধয,ববদগ্ধ
ববরাগী,ববরাশগ
ববরী,ববশর
ববশরতা,ববরীতা
ববশাখ্ী,ববশাশখ্
ববশশষ্টয,ববশশষ্ট
ববশশ্বক,ববশ্বীক
নবাঁিকা,নবািকা
নবাঁো,নবাো
নবাকাশর্,নবাকার্ী
নবানাস,নবানাশ
নবারকা,নবারখ্া
ব্যশিসত্তা,ব্যশিসত্ত্বা
ব্যগ্র,ব্যাগ্র
ব্যঙ্গ,ব্যাঙ্গ
ব্যশতক্রর্,ব্যাশতক্রর্
ব্যশতযরযক,ব্যাশতযরযক
ব্যতীত,ব্যাতীত
ব্যিা,ব্যািা
ব্যবর্ান,ব্যাবর্ান
ব্যবসায়,ব্যাবসায়
ব্যবসায়ী,ব্যবসাশয়
ব্যবহার,ব্যাবহার
ব্যশভিার,ব্যাশভিার
ব্যয়,ব্যায়
ব্যশয়ত,ব্যাশয়ত
ব্যি জ,ব্যাি জ
ব্যস্ত,ব্যাস্ত
ব্যাকরণ,ব্যকরণ
ব্যাকুল,ব্যকুল
ব্যাঘাত,ব্যাঘাৎ
ব্যাঘ্র,ব্যঘ্র
ব্যাং,ব্যাঙ
ব্যাোশর,ব্যাোরী
ব্যাশর্,ব্যশর্
ব্যানার,নবনার
ব্যাবসা,ব্যবসা
ব্যাবহাশরক,ব্যবহাশরক
ব্যাশরস্টার,ব্যাশরষ্টার
ব্যাহত,ব্যহত
বুযৎপশত্ত,বুৎপশত্ত
বূযহ,বুযহ
ব্রণ,ব্রন
ব্রতিারী,ব্রতিাশর
ব্রতী,ব্রশত
ব্রহ্মিারী,ব্রহ্মিাশর
ব্রাহ্মণ,ব্রাহ্মন
শব্রটিশ,বৃটিশ
শব্রযেন,বৃযেন
শব্রফ,ব্রীফ
শব্রফযকস,ব্রীফযকস
শব্রশফং,শব্রফীং
নব্রকফাস্ট,নব্রকফাষ্ট
ব্লাউর্,ব্লাউ
নব্লর্ার,নব্ল ার
ভক্ষণ,ভক্ষন
ভশিপশত,ভশিপতী
ভাঙা,ভাঙ্গা
ভশঙ্গ,ভঙ্গী
ভশঙ্গর্া,ভংশগর্া
ভঙ্গুর,ভংগুর
ভশণতা,ভশনতা
ভণ্ড,ভন্ড
ভণ্ডাশর্,ভণ্ডার্ী
ভন্ডুল,ভণ্ডুল
ভশবষ্যৎ,ভশবষ্যত
ভশবষ্যতহশবল,ভশবষ্য তহশবল
ভয়ংকর,ভয়ঙ্কর
ভশত জ,ভরশত
ভরণযপার্ণ,ভরনযপার্ণ
ভৎজসনা,ভৎসনাজ
ভৎজশসত,ভৎজসীত
ভত্যশকজ,ভত্যকীজ
ভস্ম,ভষ্ম
ভশস্মত,ভস্মীত
ভস্মীভূত,ভস্মীভুত
ভাঁওতা,ভাওতা
ভাঁর্,ভার্
ভাঁড়,ভাড়
ভাঁড়াশর্,ভাড়াশর্
ভাগবাঁযোয়ারা,ভাগ বাযোয়ারা
ভাগাড়,ভাগার
ভাগীদার,ভাশগদার
ভাগীরিী,ভাশগরশত
ভাশগনা,ভাইগনা
ভাশগ্যস,ভাগ্যীর্
ভাঙচুর,ভাংচুর
ভাঙন,ভাঙ্গন
ভাটিয়াশল,ভাটিয়ালী
ভাঙা,ভাঙ্গা
ভাণ্ড,ভান্ড
ভান্ডার,ভাণ্ডার
ভান্ডাশর,ভাণ্ডারী
ভাবগম্ভীর,ভাবগশম্ভর
ভাশব (ভাইযয়র স্ত্রী),ভাবী
ভাবী (ভশবষ্যৎ),ভাশব
ভারাপণজ,ভারাপনজ
ভাশর (অতযন্ত),ভারী
ভারী (ওর্নদার),ভাশর
"ভালুক, ভল্লুক",ভাল্লুক
ভাযলা,ভাল
ভাশুর,ভাসুর
ভার্ণ,ভার্ন
ভার্াভার্ী,ভার্াভাশর্
শভআইশপ,শভআইপী
শভখ্াশর,শভশখ্রী
শভড়,ভীড়
শভনযদশশ,শভনযদশী
ভীত্য,শভত্য
শভর্রুল,ভীর্রুল
ভীর্রশত,ভীর্রতী
ভীত,শভত
ভীরু,শভরু
ভীর্ণ,ভীর্ন
ভুইুঁ,ভূইুঁ
ভুইযফাঁড়ুঁ,ভুইযফাড়ুঁ
ভুশড় (যর্াো নপে)ুঁ,ভুশড়
ভুশি,ভুশি
ভুখ্াশর্শছল,ভূখ্াশর্শছল
ভুোশন,ভূোনী
ভুবন,ভূবন
ভুয়া,ভূয়া
ভুলভ্রাশন্ত,ভূলভ্রাশন্ত
ভুশস (শযস্যর নখ্াসা),"ভূশর্, ভুশর্"
ভূ,ভু
ভূ-উপগ্রহ,ভু-উপগ্রহ
ভূকম্পন,ভূকম্পণ
ভূতাযপক্ষ,ভুতাযপক্ষ
ভূতাযপশক্ষক,ভূতাযপক্ষীক
ভূত্যযড়,ভুত্যযড়
ভূশর্,ভূর্ী
ভূশর্কা,ভুশর্কা
ভূশর্ষ্ঠ,ভূশর্ষ্ট
ভূয়সী,ভুয়শস
"ভূশর, ভূশরভূশর (প্রচুর)",ভুশড়
ভূশরযভার্,ভুশড়যভার্
ভূর্ণ,ভুর্ন
নভড়া (যর্র্),নভরা
নভেশক,নভেকী
"শভতর, নভতর",নভযতার
নভযরন্ডা,নভযরণ্ডা
নভলশক,নভশল্ক
নভর্র্,নভসর্
বভরবী,বভরশব
নভাঁদড়,নভাঁদর
নভাগী,নভাশগ
নভৌযগাশলক,নভৌগশলক
নভৌশতক,নভৌতীক
ভযাকশসন,ভযাকসীন
ভযাবািযাকা,নভবািাকা
ভ্রর্ণ,ভ্রর্ন
ভ্রর্ণসূশি,ভ্রর্ণসূিী
ভ্রাতৃবৎ,ভ্রাতৃবত
ভ্রাশন্তবশত,ভ্রাশন্তবশতঃ
ভ্রাম্যর্াণ,ভ্রাম্যর্ান
ভ্রু,ভ্রূ
ভ্রুকুটি,ভ্রূকূটি
ভ্রুযক্ষপ,ভ্রূযক্ষপ
ভ্রূণ,ভ্রুণ
ভ্রূণঘাতী,ভ্রুণঘাশত
র্যক্কল,র্যক্বল
র্ক্ষীরাশন,র্শক্ষরানী
র্র্শলশ,র্র্শলস
র্জুত,র্জুদ
র্জুশর,র্জুরী
র্ঞ্জশর (র্মকুল),র্ঞ্জরী
র্ঞ্জুশর (অনুর্শত),র্ঞ্জুরী
র্েরশুটিুঁ,র্েরশুটি
র্ড়া (মৃতযদহ),র্রা
র্ণ (৪০ নসর),র্ন
র্শণ (রত্ন),র্শন
র্শণপুশর,র্শণপুরী
র্ণ্ডপ,র্ন্ডপ
র্শণ্ডত,র্শন্ডত
র্ণ্ডলী,র্ণ্ডশল
র্ত (র্ারণা),র্যতা
র্যতা (ত্যল্য),র্ত
র্ৎস্য,র্ৎস
র্ৎস্যর্ীবী,র্ৎস্যর্ীশব
র্দদ,র্দত
র্ধুসূদন,র্ধূসূদন
র্ধ্যর্শণ,র্ধ্যর্শন
র্ধ্যাহ্ন,র্ধ্যাহ্ণ
র্নঃকষ্ট,র্যনাকষ্ট
র্নঃক্ষুণ্ন,র্নঃক্ষুন্ন
র্নঃপূত,র্যনাপূত
র্নস্তত্ত্ব,র্যনাস্তত্ব
র্নস্তাশত্ত্বক,র্নস্তাত্ত্বীক
র্নস্থ,র্নস্ত
র্শনহাশর,র্শনহারী
র্নীর্া,র্শনর্া
র্নীর্ী,র্শনর্ী
র্যনানীত,র্যনাশনত
র্যনায াগী,র্নয াগী
র্শন্ত্রত্ব,র্ন্ত্রীত্ব
র্শন্ত্রপশরর্দ,র্ন্ত্রীপশরর্দ
র্শন্ত্রসভা,র্ন্ত্রীসভা
র্ন্ত্রী,র্শন্ত্র
র্ন্বন্তর,র্ন্নন্তর
র্ফস্ সল,"র্ফস্বল, র্ফঃস্বল"
র্য়ূর,র্য়ুর
র্য়ূরকণ্ঠী,র্য়ুরকণ্ঠী
র্রণ,র্রন
র্রশর্,র্রর্ী
র্রীশিকা,র্শরশিকা
র্রূদ্যান,র্রুদ্যান
র্েযগর্জ,র্েযগ জ
র্ াদাহাশনকরজ,র্ াদা হাশনকরজ
র্শকরা,র্স্করা
র্শাশর,র্শারী
র্শালর্ারী,র্শালর্াশর
র্শস্তষ্ক,র্শস্তস্ক
র্হড়া,র্হরা
র্হশর্ জ,র্হর্ী
র্হাপশরিালক,র্হা পশরিালক
র্হার্াশর,র্হার্ারী
র্হারােীয়,র্হারাশস্ট্রয়
র্হাঘভাতাজ,র্হাঘয ভাতাজ
র্শহরুহ,র্হীরুহ
র্হীয়সী,র্শহয়সী
র্হীয়ান,র্শহয়ান
র্াংসাশী,র্াংসাশশ
র্াকড়সা,র্াকড়শা
"র্াগশফরাত, র্াগযফরাত",র্াগশফরাৎ
র্াঘী,র্াশঘ
র্াছরাঙা,র্াছরাঙ্গা
র্ার্ার,র্া ার
র্াতলাশর্,র্াতলার্ী
র্াদুর,র্াদুড়
র্াধুরী,র্াধুশর
র্াধ্যাকর্ণজ,র্ধ্যাকর্ণজ
র্ানহাশনকর,র্ানহানীকর
র্াশনক,র্াশণক
র্ানী (র্ান্য),র্াশন
র্াশর্,র্ার্ী
র্ার্মশল,র্ার্মলী
র্ায়াবী,র্ায়াশব
র্ারণ,র্ারন
র্ারণাস্ত্র,র্ারনাস্ত্র
র্ারর্মখ্ী,র্ারর্মশখ্
র্ারপ্যাঁি,র্ারযিঁি
র্াশল,র্ালী
র্াশলশ,র্াশলস
র্ার্কলাই,র্াসকলাই
র্াশস,র্াসী
র্াস্টার,র্াষ্টার
র্াস্টাশর,র্াস্টারী
র্াহাত্ময,র্াহাত্ম
শর্উশনশসপ্যাশলটি,শর্উশনশসপাশলটি
শর্িিার,"শর্কিার, শর্িার"
শর্তব্যয়ী,শর্তব্যায়ী
শর্তাশল,শর্তালী
শর্নার,র্ীনার
শর্শস্ত্র,শর্শস্তরী
র্ীর্াংসা,শর্র্াংসা
র্মখ্পি (পশিকা),র্মখ্পাি
র্মখ্পাি (ব্যশি),র্মখ্পি
র্মখ্স্থ,র্মখ্স্ত
র্মখ্াযপক্ষী,র্মখ্াযপশক্ষ
র্মযখ্ার্মশখ্,র্মযখ্ার্মখ্ী
র্মখ্য,মূখ্য
র্মশড়,র্মশর
র্মশড়ঘণ্ট,র্মশড়ঘট
র্মণ্ড,র্মন্ড
র্মশদ,র্মদী
র্মদ্রণ,র্মদ্রন
র্মদ্রণপ্রর্াদ,র্মদ্রনপ্রর্াদ
র্মনশশ,"র্মনশস, র্মশন্স"
র্মনশশয়ানা,র্মশন্সয়ানা
র্মমূষু জ,মূর্মষু জ
র্মরশগ,র্মরগী
"র্মলত্যশব, র্মলতশব",র্মলত্যবী
র্মলা,মূযলা
র্মশশকল,র্মশস্কল
র্মর্যড় পড়া,র্মশযড় পড়া
র্মশষ্ট,র্মশষ্ঠ
র্মসাশফর,র্মসাফীর
র্মহুশর,র্মহুরী
র্মহুর্মহুজ,র্মহুর্মহূজ
র্মহূত জ,মূহুত জ
মূক,র্মক
মূঢ়,মূড়
মূি,র্মি
মূখ্াশর্জ,মূখ্ার্ীজ
মূছাজ,মূেজা
মূত জ,র্মত জ
মূশত জ,র্মশত জ
মূর্ন্যজ,মূর্ণ্যজ
মূল,র্মল
মূযলাৎপােন,মূযলাৎপােণ
মূল্য,র্মল্য
মূশর্ক,মূশসক
মৃগী,মৃশগ
মৃণাল,মৃনাল
মৃণাশলনী,মৃণাশলশন
মৃত্যযদণ্ড,মৃত্যযদন্ড
নর্শক,নর্কী
নর্র্াশর্,নর্র্ার্ী
নর্র্াক্রর্,নর্র্া ক্রর্
নর্র্াস্বত্ব,নর্র্াস্বত্ত্ব
নর্র্াবী,নর্র্াশব
নর্যয়শল,নর্যয়লী
নর্রুদণ্ডী,নর্রুদশণ্ড
নর্হগশন,নর্হশগশন
নর্যহশদ,নর্যহদী
বর্িী,বর্শি
নর্াকদ্দর্া,র্কদ্দর্া
নর্াকাশবলা,নর্াকাযবলা
নর্ােরগাশড়,র্েরগাশড়
নর্াড়,নর্ার
নর্াড়ক,নর্ারক
নর্াড়ল,নর্ারল
নর্ানাযফক,নর্ানাশফক
নর্ৌন,নর্ৌনতা
নর্ৌলবাশদতা,নর্ৌলবাদীতা
নর্ৌলবাদী,নর্ৌলবাশদ
নর্ৌসুর্,র্ওসুর্
নর্ৌসুশর্,নর্ৌসুর্ী
ম্যাংগাশনর্,ম্যাংগাশন
ম্যাগযনশশয়ার্,ম্যাগযনশসয়ার্
ম্যাগাশর্ন,ম্যাগাশ ন
ম্যাশর্শশয়ান,ম্যাশর্শসয়ান
ম্যাশর্যস্ট্রে,ম্যাশর্যেে
ম্যাটিশন,ম্যাটিনী
ম্যাপ,নর্প
শম্রয়র্াণ,শম্রয়ার্ান
ম্লান,ম্লাণ
,
কৃৎ,কৃত
ক্ষ্মা,ক্ষা
খ্নই,খ্শন
ৎসার্ান্য,তসার্ান্য
িাি জ,িাথ্যজ
ািাথ্যজ,ািাি জ
যিে,যিো
যিষ্ট,যিষ্ঠ
ন্ত্রণা,ন্ত্রনা
র্পুরী,র্পুশর
শস্বী,শশস্ব
ানবাহন,ানবাহণ
াবৎ,াবত
শ শু,ীশু
শ শুশিষ্ট,শ শুশিস্ট
যুিসশিব,যুি সশিব
যুযগাত্তীণ জ,যুযগাত্তীন জ
যুদ্ধংযদশহ,যুদ্ধংযদহী
যুবসর্ার্,যুব-সর্ার্
যূশিকা,যুশিকা
যূিী,যুশি
ন -যকাযনা,ন  নকান
ন শদক,ন -শদক
ন শদন,ন -শদন
ন যহত্য,ন -যহত্য
ন াগসার্শ,ন াগসার্র্
ন ৌনকর্ী,ন ৌনকশর্ জ
ন ৌবনবতী,ন ৌবনবশত
ন ৌবযনাত্তীণ জ,ন ৌবযনাত্তীন জ
রইরই,বরবর
রং,রঙ
রকর্াশর,রকর্ারী
রিকরবী,রিকরশব
রক্ষণ,রক্ষন
রক্ষণাযবক্ষণ,রক্ষনাযবক্ষন
রক্ষী,রশক্ষ
রশঙন,রশঙ্গন
রণ,রন
রণাঙ্গন,রনাঙ্গন
রিী,রশি
রিাশন,রফতাশন
"রশববার, নরাববার",নরাব বার
রর্র্ান,রর্ ান
রর্ণী,রর্নী
রসগ্রাশহতা,রসগ্রাহীতা
রসগ্রাহী,রসগ্রাশহ
রসায়ন,রসায়ণ
রশসদ,রশশদ
রযসাত্তীণ জ,রসত্তীন জ
রাঁধুশন,রাঁধুনী
রাশগণী,রাশগনী
রাঙা,রাঙ্গা
রাঙ্গার্াটি,রাঙার্াটি
রার্দণ্ড,রার্দন্ড
রার্র্ানী,রার্র্াশন
রার্প্রাসাদ,রার্প্রসাদ
রার্বংশী,রার্বংশশ
রার্শর্ জ,রার্র্ী
"রাত, রাশি",রাি
রাশন,রাণী/রানী
রার্ায়ণ,রার্ায়ন
রাশ (লাগার্),রাস
শরকশা,শরিা
শরপু,ঋপু
শরভলভার,শরভলবার
রুক্ষ,রুক্ষ্ম
রুগ ণ,রুি
রুদ্রমূশত জ,রুদ্রর্মশত জ
রুপা,রূপা
রুপাশল,রূপালী
রুহ,রূহ
রূঢ়,রুঢ়
রূপ,রুপ
রূপকার,রুপকার
রূপশস,রুপসী
-রূপী (যবশর্ারী),-রুশপ
নরওয়ার্,নরয়ার্
নরশর্শস্ট্র,নরশর্শে
নরফাশর,নরফারী
নরয়াত,নরয়াৎ
নরয়াশত,নরয়াতী
নরশলং,নরশলঙ
নরশন,নরসন
নরশশর্,নরশর্ী
নরর্াযরশর্,নরশাযরশর্
নরযস্তারাঁ,নরযস্তাঁরা
নরাগী,নরাশগ
নরাশগণী,নরাশগনী
নরার্কাশর,নরার্কারী
নরার্া,নরা া
নরাোশর,নরাোরী
নরাদ্দুর,নরাদদুর
নরাপণ,নরাপন
নরার্ন্থন,নরার্ন্তন
নরার্হর্কজ,নরার্হশকজ
নরার্ান কযািশলক,নরার্ান কযািলীক
নরার্াশটক,নরার্ানটিক
নরার্াশি,নরার্ািী
নরাস্ট,নরাষ্ট
নরৌদ্রকযরাজ্জ্বল,নরৌদ্রকরজ্জ্বল
নরৌপ্যালংকার,নরৌপ্যালঙ্কার
নরশেযয়শন,র যাশেযয়সন
র যাশল,র যালী
লক্ষণীয়,লক্ষযণীয়
লক্ষ্মী,লক্ষী
লক্ষয (উযদ্দশ্য),লক্ষ
লশি,লিী
লিীকরণ,লশিকরণ
লিীকৃত,লশিকৃত
লশঘষ্ঠ,লশঘষ্ট
লঘু,লঘূ
লঘুদণ্ড,লঘুদন্ড
লঘূকরণ,লঘুকরণ
লঘূকৃত,লঘুকৃত
লঙ্কাকাণ্ড,লংকাকাণ্ড
লঙ্ঘন,লংঘন
লজ্জাকর,লজ্জাষ্কর
লজ্জাপীশড়ত,লজ্জাপীড়ীত
লজ্জাবতী,লজ্জাবশত
লোশর,লোরী
লন্ঠন,লণ্ঠন
লন্ডন,লণ্ডন
লন্ডভন্ড,লণ্ডভণ্ড
লবঙ্গ,লবংগ
লবণ,লবন
লহশর,লহরী
লাইযব্রশর,লাইযব্ররী
লাইেহাউর্,লাইেহাউস
লাকশড়,লাকশর
লাগার্হীন,লাগার্শহন
লাঙল,লাঙ্গল
লাঠিযসাঁো,লাঠিযসাো
লাবণ্য,লাবন্য
লাশ,লাস
লাস্যর্য়ী,লাস্যর্শয়
শলোর,লীোর
লীলা,শললা
"লুে, লুঠ",লূে
লুণ্ঠন,লুন্ঠন
নলংটি,ল্যাংটি
নলখ্নী,নলখ্শন
নলর্,ল্যার্
নলজুড়,নলজুর
নলশে,নলেী
নলপযতাশক,নলপযতাশক
নলফযেন্যাট,নলপযেন্যাণ্ট
নলাকলশকর,নলাকলসকর
নলাকসাশন,নলাকসানী
নলাকারণ্য,নলকারন্য
নলােযশশেং,নলােযর্শেং
নলাভী,নলাশভ
নলালুপ,নলালূপ
নলৌহর্ানব,নলৌহর্াণব
ল্যান্ডযস্কপ,ল্যাণ্ডযস্কপ
ল্যাপেপ,ল্যাপ-েপ
ল্যাশর্যনশন,ল্যাশর্যনর্ন
শংকর,শঙ্কর
শকোযরাহী,শকোযরাশহ
শকুশন,শকুনী
শশির্ান,শশিবান
শশিসার্থ্যজ,শশিসার্ি জ
শঙ্কা,শংকা
শঙ্কাগ্রস্ত,শংকাগ্রস্থ
শাঁখ্া,শাখ্া
শঙ্খচূড়,শঙ্খচূর
"শশর্না, শর্যন",সশর্না
শণ,শন
শতপদী,শতপশদ
শতর্মখ্ী,শতর্মশখ্
শতািী,শতাশি
শতায়ু,শতায়ূ
শনাি,সনাি
শনািকারী,সনািকাশর
শব ািা,সব ািা
শয়তাশন,শয়তানী
শরণাপন্ন,স্মরণাপন্ন
শরণািী,শরনািী
শরৎ,শরত
শরবত,সরবত
শরাব,সরাব
শশরক,শরীক
শশরশক,শশরকী
শশরয়ত,শরীয়ত
শরীরী,শরীশর
শতসাযপযক্ষজ,শত সাযপযক্ষজ
শসা,শশা
শস্য,শষ্য
শশহদ শদবস,শহীদ শদবস
শশহদ শর্নার,শহীদ শর্নার
শাঁখ্া,শাঁখ্ারী
শাঁখ্াশর,শাখ্াশর
শাওন,শাওণ
শাশড়,শাড়ী
শাণ (র্ার),শান
শাশদ,শাদী
শান (শানবাঁর্াযনা),শাণ
শাপ (অশভশাপ),সাপ
শাবাশ,সাবাস
শাশর্ল,সাশর্ল
শাশর্য়ানা,সাশর্য়ানা
শারদীয়,শারশদয়
শারীশরক,শাশরশরক
শাশুশড়,শাশুড়ী
শালীন,শাশলন
শাশ্বত,শ্বাশত
শাহর্াশদ,শাহর্াদী
শশউশল,শশউলী
শশং,শশঙ
শশকাশর,শশকারী
শশক্ষাঙ্গন,শশক্ষাঙ্গণ
শশক্ষাদীক্ষা,শশক্ষাশদক্ষা
শশক্ষানশবশ,শশক্ষানশবস
শশক্ষানশবশশ,শশক্ষানশবসী
শশগ শগর,শশগগীর
শশঙা,শশঙ্গা
শশঙাড়া,শশঙ্গাড়া
শশে,শীে
50শশর্মল,শশমূল
শশরঃপী,শশরঃপীরা
শশরদাঁড়া,শশরদাঁরা
শশরযিদ,শশরযেদ
শশরস্ত্রাণ,শশরস্ত্রান
শশরীর্,শশশরর্
শশযরাপা,শশযরাফা
শশযরার্শণ,শশযরার্শন
শশল্পী,শশশল্প
শশর্ (েগা),শশস
শশস (শি),শশর্
শশহরন,শশহরণ
শীত,শশত
শীতাতপ,শীততাপ
শীণ জ,শীন জ
শুেশকুঁ,শুেশক
শুড়ুঁ,শুরুঁ
শুযয়াযপাকাুঁ,শুযয়াযপাকা
শুশিবায়ু,সুশিবায়ু
শুদ্ধ (যশাশর্ত),সুদ্ধ
শুশদ্ধ,শুদ্ধী
শুদ্ধীকৃত,শুশদ্ধকৃত
শুনাশন,শুনানী
শুভ,শূভ
শুভাকািী,শুভাকাংশখ্
শুর্াশর,শুর্ারী
শুযয়ার,শুয়র
শুশ্রূর্া,শুশ্রুর্া
শূকর,শুকর
শূন্য,শূণ্য
শূল,শুল
শূলপাশণ,শুলপাশন
শৃঙ্খলা,শৃংখ্লা
শৃঙ্গ,শৃংগ
শৃশঙ্গ (শশশঙ র্াছ),শৃংশগ
নশফাশল,নশফালী
নশর্যর্শ,নশর্যর্র্
নশর্রাশি,নশর্রািী
বশলী,বশশল
নশাকসন্তি,নশাক সন্তি
নশাশণত,নশাশনত
নশানা (িশলত রীশতযত),শুনা
নশারযগাল,নসারযগাল
নশৌশখ্ন,নসৌশখ্ন
শ্বাসনাশল,শ্বাসনালী
শ্বশুর,শশুর
শ্বশ্রূ (শাশুশড়),িশ্রূ
িশান,শিান
শ্যাওলা,নশওলা
শ্রদ্ধাঞ্জশল,শ্রর্াঞ্জলী
শ্রাবস্তী,শ্রাবশস্ত
শ্রীর্ান,শ্রীর্াণ
নশ্রশণকক্ষ,নশ্রণীকক্ষ
নশ্রশণশবন্যাস,নশ্রণীশবন্যাস
র্ড়্ ঋত্য,স্বরঋত্য
র্ড় ন্ত্র,স্বড় ন্ত্র
র্ণ্ডা (র্াঁড়),র্ন্ডা
র্শষ্ট (৬০ সংখ্যক),র্শষ্ঠ
র্াঁড়,র্াড়
র্াণ্মাশসক,র্ান্মাশর্ক
নর্াযলা,নর্াল
নর্াড়শী,নর্াড়শশ
নর্াযলাআনা,নর্ালআনা
নর্াযলাকলা,নর্ালকলা
সওদাগশর,সওদাগরী
সং,সঙ
সংকর,সঙ্কর
সংকেগ্রস্ত,সংকেগ্রস্থ
সংকীণ জ,সঙ্কীণ জ
সংকীতনজ,সঙ্কীতনজ
